ds:H00001	B lymphoblastic leukemia/lymphoma
ds:H01075	Peters anomaly
ds:H01076	Alpha-methylacetoacetic aciduria; 3-Ketothiolase deficiency
ds:H01077	Bordetella hinzii infection
ds:H01078	Fletcher factor deficiency; Prekallikrein deficiency
ds:H01079	3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency; PHGDH Deficiency
ds:H01080	Ralstonia pickettii infection
ds:H01081	Achromobacter xylosoxidans keratitis
ds:H01082	Phosphoserine aminotransferase (PSAT) deficiency
ds:H01083	Bordetella bronchiseptica infection
ds:H01084	Bordetella holmesii infection
ds:H01085	Diphyllobothriasis
ds:H01086	Lymphatic filariasis
ds:H01087	Balantidiasis; Balantidial dysentery
ds:H01088	Pigmented paravenous chorioretinal atrophy (PPCA)
ds:H01089	Dientamoebiasis
ds:H01090	Ascariasis
ds:H01091	Enterobiasis; Oxyuriasis
ds:H01092	Human hookworm infections
ds:H01093	Paragonimiasis; Pulmonary distomatosis; Lung fluke disease; Benign endemic hemoptysis
ds:H01094	Eosinophil peroxidase deficiency
ds:H01095	Syndactyly
ds:H01096	Pyruvate kinase (PK) deficiency
ds:H01097	Spastic quadriplegic cerebral palsy
ds:H01098	Pentastomiasis
ds:H01099	Trichinosis; Trichinellosis
ds:H01100	Strongyloidiasis
ds:H01101	Combined lipase deficiency (CLD)
ds:H01102	Pituitary adenomas
ds:H01103	Alpha-1-antitrypsin (A1AT) deficiency
ds:H01104	Loiasis
ds:H01105	Cranio-lenticulo-sutural dysplasia (CLSD); Boyadjiev-Jabs syndrome
ds:H01106	Plasminogen activator inhibitor type 1 (PAI-1) deficiency
ds:H01107	Intestinal fluke infections
ds:H01108	CD36 deficiency; Platelet glycoprotein IV deficiency
ds:H01109	Chronic mucocutaneous candidiasis (CMC); Familial candidiasis (CANDF)
ds:H01110	Pneumothorax
ds:H01111	Cortisone reductase deficiency (CRD)
ds:H01112	Polyhydramnios, megalencephaly, and symptomatic epilepsy; PMSE syndrome
ds:H01113	Acid phosphatase deficiency
ds:H01114	Ocular coloboma
ds:H01115	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract (PHARC)
ds:H01116	Choroideremia (CHM); Tapetochoroidal dystrophy
ds:H01117	Chronic recurrent multifocal osteomyelitis (CRMO); Majeed syndrome
ds:H01118	Progressive external ophthalmoplegia (PEO)
ds:H01119	Prolidase deficiency (PD)
ds:H01120	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome (PVHH); Cerebral proliferative glomeruloid vasculopathy (PGV); Fowler syndrome
ds:H01121	Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency
ds:H01122	Congenital pulmonary alveolar proteinosis; Pulmonary surfactant metabolism dysfunction
ds:H01123	HMG-CoA synthase (HMGCS) deficiency
ds:H01124	Pyridoxamine-5'-phosphate oxidase (PNPO) deficiency
ds:H01125	Hereditary pyropoikilocytosis (HPP)
ds:H01126	Familial renal glucosuria (FRG)
ds:H01127	PIGM-congenital disorder of glycosylation (PIGM-CDG)
ds:H01128	Reticular dysgenesis
ds:H01129	Brody myopathy
ds:H01130	Late-onset retinal degeneration (L-ORD)
ds:H01131	Hereditary neuralgic amyotrophy (HNA); Hereditary brachial plexus neuropathy
ds:H01132	Aplastic anemia (AA)
ds:H01133	Reynolds syndrome
ds:H01134	Rhabdoid predisposition syndrome (RPS)
ds:H01135	Ribose 5-phosphate isomerase (RPI) deficiency
ds:H01136	Carboxypeptidase N deficiency
ds:H01137	Baylisascariasis
ds:H01138	Hymenolepiasis
ds:H01139	Human granulocytic anaplasmosis
ds:H01140	Sennetsu neorickettsiosis; Sennetsu ehrlichiosis
ds:H01141	Human monocytic ehrlichiosis
ds:H01142	Ehrlichia ewingii infection
ds:H01143	Vitamin D-dependent rickets
ds:H01144	Ochrobactrum anthropi infection
ds:H01145	Atransferrinemia; Congenital hypotransferrinemia
ds:H01146	Aminoacylase 1 deficiency
ds:H01147	Methylobacterium infection
ds:H01148	Caulobacter infection
ds:H01149	Ring dermoid of cornea
ds:H01150	Phenylobacterium infection
ds:H01151	Brevundimonas infection
ds:H01152	Taenia saginata infection
ds:H01153	Human echinococcosis
ds:H01154	Wolff-Parkinson-White (WPW) syndrome; Preexcitation syndrome
ds:H01155	Roussy-Levy syndrome
ds:H01156	STAR syndrome
ds:H01157	Agrobacterium radiobacter infection
ds:H01158	Alopecia universalis
ds:H01159	Anterior segment dysgenesis (ASGD)
ds:H01160	Schizencephaly
ds:H01161	Aromatic L-amino acid decarboxylase (AADC) deficiency
ds:H01162	Scott syndrome
ds:H01163	Corticosteroid-binding globulin (CBG) deficiency
ds:H01164	Paracoccus yeei infection
ds:H01165	Novosphingobium aromaticivorans infection
ds:H01166	Sphingomonas paucimobilis infection
ds:H01167	Gluconobacter infection
ds:H01168	Sea-blue histiocyte disease
ds:H01169	Acetobacter infection
ds:H01170	Autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS)
ds:H01171	Poor drug metabolism (PM)
ds:H01172	Infantile ascending hereditary spastic paralysis (IAHSP)
ds:H01173	Stiff skin syndrome (SSS)
ds:H01174	Congenital diarrhea
ds:H01175	Staphylococcal infection
ds:H01176	Uncomplicated urinary tract infection
ds:H01177	Infantile bilateral striatal necrosis (IBSN)
ds:H01178	Myiasis
ds:H01179	Tungiasis; Chigoe flea
ds:H01180	Sveinsson chorioretinal atrophy (SCRA); Helicoid peripapillary chorioretinal degeneration (HPCD)
ds:H01181	T-cell immunodeficiency congenital alopecia and nail dystrophy (TIDAND)
ds:H01182	Biotinidase deficiency; BTD deficiency; Late-onset multiple carboxylase deficiency
ds:H01183	Thiamine-responsive megaloblastic anemia (TRMA)
ds:H01184	Familial dementia
ds:H01185	Cerebral amyloid angiopathy (CAA); Hereditary cerebral hemorrhage with amyloidosis
ds:H01186	Abnormal thyroid hormone metabolism
ds:H01187	Tietz syndrome; Albinism-deafness syndrome
ds:H01188	Tn syndrome
ds:H01189	Transaldolase (TALDO) deficiency
ds:H01190	Transcobalamin II deficiency
ds:H01191	Asthma with nasal polyps and aspirin intolerance
ds:H01192	Lysyl hydroxylase 3 (LH3) deficiency; Bone fragility with contractures arterial rupture and deafness
ds:H01193	Familial tumoral calcinosis (FTC)
ds:H01194	X-linked chondrodysplasia punctata
ds:H01195	VACTERL/VATER association
ds:H01196	Hypochromic microcytic anemia
ds:H01197	Dihydrofolate reductase (DHFR) deficiency
ds:H01198	Fanconi renotubular syndrome (FTS)
ds:H01199	Hyperalphalipoproteinemia
ds:H01200	Fatal infantile cardioencephalomyopathy
ds:H01201	Jensen syndrome; Opticoacoustic nerve atrophy
ds:H01202	Cataract
ds:H01203	Primary congenital glaucoma (PCG)
ds:H01204	Cerebellar ataxia, mental retardation (MR), and dysequilibrium syndrome (CAMRQ)
ds:H01205	Coumarin resistance; Warfarin resistance
ds:H01206	Plasminogen deficiency
ds:H01207	Trigonocephaly
ds:H01208	Globozoospermia; Round-headed spermatozoa
ds:H01209	Deafness, X-linked
ds:H01210	Hypomagnesemia
ds:H01211	MECP2-related severe neonatal encephalopathy
ds:H01212	Familial encephalopathy with neuroserpin inclusion bodies (FENIB)
ds:H01213	Gallbladder disease; Cholecystitis; Cholelithiasis
ds:H01214	Rh-null hemolytic anemia (RHN); Rh-deficiency syndrome
ds:H01215	Simpson-Golabi-Behmel syndrome (SGBS)
ds:H01216	Left ventricular noncompaction (LVNC)
ds:H01217	Primary localized cutaneous amyloidosis (PLCA)
ds:H01218	P14 deficiency
ds:H01219	Restrictive cardiomyopathy (RCM)
ds:H01220	Congenital cataracts, facial dysmorphism, and neuropathy (CCFDN)
ds:H01221	Epithelial basement membrane corneal dystrophy (EBMD); Cogan microcystic epithelial dystrophy; Map-dot-fingerprint dystrophy
ds:H01222	Cowden syndrome
ds:H01223	Mental retardation-stereotypic movements-epilepsy and/or cerebral malformations (MRSME); Chromosome 5q14.3 deletion syndrome
ds:H01224	Ketosis-prone diabetes mellitus (KPD)
ds:H01225	D-2-hydroxyglutaric aciduria (D-2-HGA)
ds:H01226	GLI3 morphopathies
ds:H01227	Inflammatory bowel disease (IBD)
ds:H01228	Insulin-resistant diabetes mellitus with acanthosis nigricans (IRAN); Type A insulin resistance
ds:H01229	Inclusion body myopathy 3 (IBM3)
ds:H01230	Adult-onset autosomal dominant leukodystrophy (ADLD)
ds:H01231	Biotin-responsive basal ganglia disease (BBGD)
ds:H01232	Syndromic multisystem autoimmune disease
ds:H01233	Urocanase deficiency; Urocanic aciduria
ds:H01234	Trimethylaminuria (TMAU); Fish-odor syndrome
ds:H01235	Bleeding disorder platelet-type
ds:H01236	Familial articular chondrocalcinosis
ds:H01237	Sulfite oxidase deficiency
ds:H01238	Phelan-McDermid syndrome; Chromosome 22q13.3 deletion syndrome
ds:H01239	Combined SAP deficiency; Prosaposin deficiency
ds:H01240	Immune thrombocytopenia (ITP); Autoimmune thrombocytopenic purpura
ds:H01241	Congenital diaphragmatic hernia (CDH)
ds:H01242	Saccharopinuria
ds:H01243	Huntington's disease-like syndrome
ds:H01244	T+B+Severe combined immunodeficiencies (SCIDs)
ds:H01245	Immunodeficiency without anhidrotic ectodermal dysplasia
ds:H01246	Isolated congenital nail clubbing (ICNC); Isolated congenital digital clubbing
ds:H01247	Pyridoxine-dependent epilepsy (PDE)
ds:H01248	Erythrocyte lactate transporter defect
ds:H01249	Ethylmalonic encephalopathy (EE)
ds:H01250	Hereditary gingival fibromatosis (HGF)
ds:H01251	Focal cortical dysplasia of Taylor; Focal cortical dysplasia type II
ds:H01252	Hereditary folate malabsorption (HFM)
ds:H01253	Isolated follicle-stimulating hormone deficiency (IFSHD)
ds:H01254	Congenital prothrombin deficiency
ds:H01255	Juvenile-onset dystonia
ds:H01256	Foveal hypoplasia
ds:H01257	GABA-transaminase deficiency; 4-Aminobutyrate aminotransferase deficiency
ds:H01258	Generalized epilepsy and paroxysmal dyskinesia (GEPD)
ds:H01259	Giant axonal neuropathy
ds:H01260	Glomerulopathy with fibronectin deposits (GFND)
ds:H01261	Congenital glucose-galactose malabsorption (GGM)
ds:H01262	Formiminotransferase deficiency
ds:H01263	Progressive cardiac conduction defect (PCCD); Progressive familial heart block (PFHB); Lenegre-Lev disease
ds:H01264	Hepatic venoocclusive disease with immunodeficiency (VODI)
ds:H01265	Hydrolethalus syndrome
ds:H01266	Hypercarotenemia and vitamin A deficiency
ds:H01267	Familial hyperinsulinemic hypoglycemia (HHF)
ds:H01268	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome; HHH syndrome
ds:H01269	Congenital hyperthyroidism
ds:H01270	Familial hypobetalipoproteinemia (FHBL)
ds:H01271	Hypoparathyroidism with sensorineural deafness and renal dysplasia; HDR syndrome; Barakat syndrome
ds:H01272	Hypoplastic left heart syndrome (HLHS)
ds:H01273	Autosomal dominant keratitis (ADK); Hereditary keratitis
ds:H01274	Growth delay due to insulin-like growth factor I resistance; IGF-I resistance
ds:H01275	Interleukin 1 receptor antagonist deficiency (DIRA); Multifocal osteomyelitis with periostitis and pustulosis (OMPP)
ds:H01276	Chronic idiopathic intestinal pseudo-obstruction; CIIP
ds:H01277	Vitamin B12 deficiency anaemia
ds:H01278	Iron-refractory iron deficiency anemia (IRIDA)
ds:H01279	Isobutyryl-CoA dehydrogenase (IBD) deficiency
ds:H01280	L-2-hydroxyglutaric aciduria (L2HGA)
ds:H01281	Lathosterolosis
ds:H01282	Spermatogenic failure
ds:H01283	Malonyl-CoA decarboxylase deficiency
ds:H01284	Marinesco-Sjogren syndrome
ds:H01285	Methylcobalamin deficiency type G (cblG)
ds:H01286	Microtia hearing impairment and cleft palate (MHICP)
ds:H01287	Congenital mirror movements (CMM)
ds:H01288	Mosaic variegated aneuploidy (MVA) syndrome
ds:H01289	Mulibrey nanism
ds:H01290	Acute recurrent myoglobinuria
ds:H01291	Spheroid body myopathy (SBM)
ds:H01292	Nance-Horan syndrome
ds:H01293	Narcolepsy
ds:H01294	Nephrogenic syndrome of inappropriate antidiuresis (NSIAD)
ds:H01295	Neurodegeneration due to cerebral folate transport deficiency
ds:H01296	Hereditary neuropathy with liability to pressure palsies (HNPP)
ds:H01297	Neutral lipid storage disease with myopathy
ds:H01298	Pulmonary alveolar microlithiasis (PALM)
ds:H01299	Idiopathic pulmonary fibrosis
ds:H01301	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts
ds:H01302	Hyperchlorhidrosis isolated (HCHLH)
ds:H01303	Hypercatabolic hypoproteinemia
ds:H01304	Hyperglycinuria
ds:H01305	Global cerebral hypomyelination
ds:H01306	FRA12A mental retardation
ds:H01307	Nonsyndromic congenital nail disorder (NDNC)
ds:H01308	Macrocephaly macrosomia facial dysmorphism syndrome
ds:H01309	Sarcoidosis, early-onset
ds:H01310	Multi-minicore disease (MmD); Multicore myopathy with external ophthalmoplegia; Rigid spine syndrome (RSS)
ds:H01311	Enteroinvasive Escherichia coli (EIEC) infection
ds:H01312	Enteroaggregative Escherichia coli (EAEC) infection; Enteroaggregative Escherichia coli (EAggEC) infection
ds:H01313	Escherichia coli meningitis; Neonatal meningitis-associated Escherichia coli (NMEC) infection
ds:H01314	Rat-bite fever; Haverhill fever
ds:H01315	Erysipeloid; Swine erysipelas
ds:H01316	Dermatophytosis; Ringworm
ds:H01317	Periodontosis
ds:H01318	Yaws
ds:H01319	Coccidioidomycosis; Valley fever
ds:H01320	Epidemic keratoconjunctivitis (EKC)
ds:H01321	Pneumococcal disease
ds:H01322	Kyasanur Forest disease
ds:H01323	Acute gastroenteropathy due to Norwalk agent
ds:H01324	Lymphocytic choriomeningitis
ds:H01325	Actinomycosis
ds:H01326	Hand, foot and mouth disease
ds:H01327	Herpangina
ds:H01328	Aspergillosis
ds:H01329	Paracoccidioidomycosis
ds:H01330	Brazilian purpuric fever (BPF)
ds:H01331	Dental caries; Dental decay
ds:H01332	Helicobacter heilmannii infection
ds:H01333	Nonalcoholic fatty liver disease (NAFLD)
ds:H01334	Tinea versicolor; Pityriasis versicolor
ds:H01335	Photorhabdus asymbiotica infection
ds:H01336	Encephalitozoon infection
ds:H01337	Laribacter hongkongensis infection
ds:H01338	Myosclerosis
ds:H01339	Asymptomatic bacteriuria
ds:H01340	Bethlem myopathy
ds:H01341	Collagen VI myopathy
ds:H01342	Zellweger syndrome (ZS)
ds:H01343	Pantoea ananatis infection
ds:H01344	Nijmegen syndrome
ds:H01345	Providencia stuartii infection
ds:H01346	Bloom syndrome
ds:H01347	MELAS Syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes
ds:H01348	Mitochondrial phosphate carrier deficiency (MPCD)
ds:H01349	Methacrylic aciduria; 3-Hydroxy-isobutyryl-CoA hydrolase (HIBCH) deficiency
ds:H01350	Morganella morganii infection
ds:H01351	Spastic ataxia (SPAX)
ds:H01352	Mitochondrial trifunctional protein deficiency
ds:H01353	Chromobacterium violaceum infection
ds:H01354	Leigh syndrome
ds:H01355	Kearns-Sayre syndrome
ds:H01356	Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome
ds:H01357	Allergic contact dermatitis
ds:H01358	Atopic dermatitis
ds:H01359	Anaphylaxis
ds:H01360	Allergic rhinitis
ds:H01361	Eosinophilic esophagitis
ds:H01362	Dermatitis herpetiformis
ds:H01363	NARP syndrome; Neuropathy ataxia and retinis pigmentosa
ds:H01364	3-Hydroxyacyl-CoA dehydrogenase deficiency; HADH deficiency; SCHAD deficiency
ds:H01365	Leber hereditary optic neuropathy and dystonia (LDYT)
ds:H01366	Bacterial conjunctivitis
ds:H01367	Infantile liver failure
ds:H01368	Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D)
ds:H01369	ATP synthase deficiency
ds:H01370	SHORT syndrome
ds:H01371	Hypercalcemia infantile; Idiopathic infantile hypercalcemia
ds:H01372	Vitiligo
ds:H01373	Achromobacter xylosoxidans infection
ds:H01374	Helicobacter cinaedi infection
ds:H01375	Glucose 6-phosphate dehydrogenase deficiency
ds:H01376	Acrofacial dysostosis
ds:H01377	Mitchell-Riley syndrome
ds:H01378	Bosch-Boonstra optic atrophy syndrome
ds:H01379	Arcobacter butzleri infection
ds:H01380	Bacterial vaginosis
ds:H01381	Antithrombin III deficiency; Inherited Antithrombin deficiency
ds:H01382	Polyarteritis nodosa; ADA2 deficiency
ds:H01383	Hyperlipoproteinemia type IIa; LDL receptor disorder
ds:H01384	The ataxia neuropathy spectrum (ANS)
ds:H01385	Rienhoff syndrome
ds:H01386	Asparagine synthetase deficiency
ds:H01387	Activated PI3K-delta syndrome (APDS)
ds:H01388	Hyperprolactinemia
ds:H01389	Alpers syndrome; Alpers-Huttenlocher syndrome; Diffuse cerebral sclerosis of Schilder; Hepatocerebral degeneration of childhood; Mitochondrial DNA depletion syndrome 4A
ds:H01390	Mitochondrial neurogastrointestinal encephalomyopathy; MNGIE Syndrome
ds:H01391	Familial episodic pain syndrome (FEPS)
ds:H01392	Arthrogryposis, mental retardation, and seizures (AMRS)
ds:H01393	Van Maldergem syndrome (VMLDS/VMS); Cerebro-facio-articular syndrome
ds:H01394	Cole disease
ds:H01395	POLG related disorders
ds:H01396	Moyamoya disease
ds:H01397	Tick-borne lymphadenopathy; Tick-borne lymphadenitis
ds:H01398	Primary hyperammonemic disorders (Urea cycle disorders)
ds:H01399	Bacillus thuringiensis infection
ds:H01400	Secondary hyperammonemia
ds:H01401	Methicillin-resistant Staphylococcus epidermidis (MRSE) infection
ds:H01402	Nicolaides-Baraitser syndrome
ds:H01403	Coffin-Siris syndrome
ds:H01404	Punctate palmoplantar keratoderma (PPKP)
ds:H01405	Lactococcus garvieae infection
ds:H01406	Streptococcus suis infection
ds:H01407	Capnocytophaga ochracea infection
ds:H01408	Periodontal diseases
ds:H01409	Methicillin-sensitive Staphylococcus aureus (MSSA) infection
ds:H01410	Anaerobic infection
ds:H01411	Saccharomonospora viridis infection
ds:H01412	Perlman syndrome
ds:H01413	Adams-Oliver syndrome (AOS)
ds:H01414	Hafnia alvei infection
ds:H01415	Donovanosis; Granuloma inguinale
ds:H01416	Severe fever with thrombocytopenia syndrome
ds:H01417	Acute encephalitis
ds:H01418	Condyloma acuminatum; Condylomata acuminata; Genital warts
ds:H01419	Middle East respiratory syndrome (MERS)
ds:H01420	Pharyngoconjunctival fever (PCF)
ds:H01421	Acute hemorrhagic conjunctivitis
ds:H01422	Carbapenem-resistant Enterobacteriaceae (CRE) infection
ds:H01423	Penicillin-resistant Streptococcus pneumoniae infection
ds:H01424	Group A streptococcal pharyngitis; Group A streptococcal tonsillitis; Group A streptococcal pharyngotonsillitis
ds:H01425	Lysosomal storage diseases
ds:H01426	Invasive streptococcal disease
ds:H01427	Mitochondrial diseases
ds:H01428	Xeroderma pigmentosum (XP)
ds:H01429	Aseptic meningitis
ds:H01430	Viral gastroenteritis
ds:H01431	Cushing's syndrome
ds:H01432	Choreoacanthocytosis; Chorea-acanthocytosis
ds:H01433	Budd-Chiari syndrome
ds:H01434	Atypical hemolytic uremic syndrome (aHUS)
ds:H01435	Congenital asplenia
ds:H01436	Guillain-Barre syndrome
ds:H01437	Neurofibromatosis type 1; Von Recklinghausen disease
ds:H01438	Neurofibromatosis type 2
ds:H01439	Williams-Beuren syndrome
ds:H01440	Acute necrotizing ulcerative gingivitis; Vincent's gingivitis; Vincent angina; Trench mouth
ds:H01441	Pseudomonas aeruginosa infection
ds:H01442	Septic arthritis; Pyogenic arthritis
ds:H01443	Viridans group streptococcal infection
ds:H01444	Enterococcal infection
ds:H01445	Acne vulgaris
ds:H01446	Propionibacterium acnes infection
ds:H01447	Body dysmorphic disorder
ds:H01448	Hoarding disorder
ds:H01449	Excoriation disorder; Skin picking disorder
ds:H01450	Obsessive-compulsive disorder (OCD)
ds:H01451	Actinomycetoma
ds:H01452	Pediatric autoimmune neuropsychiatric disorders associated with streptococcal infection (PANDAS)
ds:H01453	Obsessive-Compulsive and Related Disorder (OCRD)
ds:H01454	Colonic spirochetosis
ds:H01455	Necrotizing fasciitis
ds:H01456	Diabetic nephropathy
ds:H01457	Diabetic retinopathy
ds:H01458	Nontuberculous mycobacterial infection
ds:H01459	Diabetic neuropathy
ds:H01460	West syndrome; Infantile spasms (IS)
ds:H01461	Crow-Fukase syndrome; POEMS syndrome
ds:H01462	Rapidly growing mycobacteria infection
ds:H01463	Mycosis fungoides
ds:H01464	Mantle cell lymphoma
ds:H01465	Large-vessel vasculitis (LVV)
ds:H01466	Ulcerative colitis (UC)
ds:H01467	Primary biliary cirrhosis (PBC)
ds:H01468	Eosinophilic granulomatosis with polyangiitis; Churg-Strauss syndrome
ds:H01469	Short bowel syndrome (SBS)
ds:H01470	Giant cell tumor of bone
ds:H01471	Lymphangioma
ds:H01472	Multi-drug-resistant tuberculosis
ds:H01473	Erythema nodosum leprosum (ENL)
ds:H01474	Acquired generalized lipodystrophy (AGL); Lawrence syndrome
ds:H01475	Lipodystrophy; Lipoatrophy
ds:H01476	Behcet disease; Behcet syndrome
ds:H01477	Congenital short bowel syndrome (CSBS)
ds:H01478	Machado-Joseph disease; Spinocerebellar ataxia 3
ds:H01479	Castleman disease
ds:H01480	Idiopathic macular hole; Retinal perforations
ds:H01481	Myelodysplastic syndrome (MDS)
ds:H01482	Infantile hemangioma
ds:H01483	Acromegaly
ds:H01484	5q- syndrome
ds:H01485	Autosomal recessive mental retardation-42 (MRT42)
ds:H01486	Multiple congenital anomalies-hypotonia-seizures syndrome (MCAHS)
ds:H01487	CHIME syndrome; Coloboma, congenital heart disease, ichthyosiform dermatosis, mental retardation, and ear anomalies syndrome; Zunich neuroectodermal syndrome
ds:H01488	Hyperphosphatasia with mental retardation syndrome (HPMPS); Mabry syndrome
ds:H01489	Inherited glycosylphosphatidylinositol (GPI) deficiencies
ds:H01490	Multiple sclerosis
ds:H01491	Neuromyelitis optica; Devic disease
ds:H01492	Systemic sclerosis; Systemic scleroderma
ds:H01493	Localized Scleroderma; Morphea
ds:H01494	Spondyloepimetaphyseal dysplasia with joint laxity type (SEMD-JL); SEMDJL-Beighton type; SEMDJL-Leptodactylic or Hall type
ds:H01495	Meniere disease
ds:H01496	Spondyloocular syndrome (SOS)
ds:H01497	Temtamy preaxial brachydactyly syndrome (TPBS)
ds:H01498	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects (JDSSDHD); Larsen-like syndrome
ds:H01499	Sporotrichosis
ds:H01500	Lupus nephritis
ds:H01501	Blastomycosis
ds:H01502	Sjogren's syndrome
ds:H01503	Zygomycosis
ds:H01504	Vogt-Koyanagi-Harada syndrome; Vogt-Koyanagi-Harada disease; Uveomeningoencephalitic syndrome
ds:H01505	Inclusion body myositis
ds:H01506	Hepatic encephalopathy; Hepatic coma
ds:H01507	Seronegative arthritis (SpA)
ds:H01508	Salivary gland cancer
ds:H01509	Tonsillar cancer
ds:H01510	Malignant paraganglioma
ds:H01511	Mast-cell leukemia
ds:H01512	Langerhans cell histiocytosis
ds:H01513	Retinoblastoma
ds:H01514	Landau-Kleffner syndrome; Acquired epileptic aphasia
ds:H01515	Scarlet fever; Scarlatina
ds:H01516	Adult onset Still's disease; Adult Still's disease
ds:H01517	Erysipelas
ds:H01518	Lobomycosis; Lobo's disease; Lacaziosis
ds:H01519	Scabies
ds:H01520	Chromomycosis; Chromoblastomycosis
ds:H01521	Pneumocystis pneumonia; Pneumocystis carinii pneumonia
ds:H01522	Zollinger-Ellison syndrome (ZES)
ds:H01523	Wiskott-Aldrich syndrome
ds:H01524	DiGeorge syndrome
ds:H01525	22q11.2 deletion syndrome; CATCH22
ds:H01526	Legg-Calve-Perthes Disease
ds:H01527	Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP)
ds:H01528	Neuroleptic malignant syndrome (NMS)
ds:H01529	Avascular necrosis of femoral head; Osteonecrosis of the femoral head
ds:H01530	Pinta; Mal del pinto; Carate
ds:H01531	Bejel; Endemic syphilis
ds:H01532	Gout
ds:H01533	Japanese encephalitis
ds:H01534	Western equine encephalitis
ds:H01535	Eastern equine encephalitis
ds:H01536	Murray Valley encephalitis; Australian encephalitis
ds:H01537	California encephalitis; La Crosse encephalitis
ds:H01538	Hendra virus infection
ds:H01539	Nipah virus infection
ds:H01540	Chikungunya fever
ds:H01541	Argentine hemorrhagic fever
ds:H01542	Bolivian hemorrhagic fever
ds:H01543	Venezuelan hemorrhagic fever
ds:H01544	Brazilian hemorrhagic fever
ds:H01545	O'nyong-nyong fever
ds:H01546	Mayaro fever
ds:H01547	Venezuelan equine fever
ds:H01548	West Nile fever; West Nile virus infection
ds:H01549	Rift Valley fever
ds:H01550	Bunyamwera fever
ds:H01551	Interstitial cystitis (IC); Bladder pain syndrome (BPS)
ds:H01552	Down syndrome; Trisomy 21
ds:H01553	Zika fever; Zika virus disease
ds:H01554	Fallopian tube cancer
ds:H01555	Merkel cell carcinoma
ds:H01556	Meningioma
ds:H01557	Hepatic angiosarcoma
ds:H01558	Parathyroid carcinoma
ds:H01559	Oropharyngeal cancer
ds:H01560	Alkhumra hemorrhagic fever (AHF)
ds:H01561	Chiari malformation; Arnold-Chiari syndrome
ds:H01562	Patau syndrome; Trisomy 13
ds:H01563	HIV infection
ds:H01564	Edwards syndrome; Trisomy 18
ds:H01565	Wernicke encephalopathy; Wernicke-Korsakoff syndrome
ds:H01566	Beriberi
ds:H01567	Thiamine pyrophosphokinase deficiency; Thiamine metabolism dysfunction syndrome 5
ds:H01568	3C syndrome; Ritscher-Schinzel syndrome; Craniocerebellocardiac dysplasia
ds:H01569	CHOPS syndrome
ds:H01570	Autosomal dominant striatal degeneration (ADSD)
ds:H01571	Singleton-Merten syndrome (SMS)
ds:H01572	Cole-Carpenter syndrome
ds:H01573	Zimmermann-Laband syndrome (ZLS)
ds:H01574	Familial idiopathic basal ganglia calcification; Bilateral striopallidodentate calcinosis (BSPDC); Fahr's disease
ds:H01575	Roifman syndrome; Spondyloepiphseal dysplasia, retinal dystrophy, and antibody deficiency
ds:H01576	Spondyloenchondrodysplasia with immune dysregulation (SPENCDI); Spondyloenchondrodysplasia (SPENCD)
ds:H01577	Essential tremor
ds:H01578	Subacute myelo-optico-neuropathy (SMON)
ds:H01579	Congenital symmetric circumferential skin creases; Kunze-Riehm syndrome; Michelin tire baby syndrome
ds:H01580	Vitamin C deficiency; Scurvy
ds:H01581	IgA nephropathy; Berger disease
ds:H01582	Pellagra
ds:H01583	Hydroxykynureninuria; Xanthurenic aciduria; Kynureninase deficiency
ds:H01584	IgA vasculitis; Henoch-Schonlein purpura
ds:H01585	Autoimmune hemolytic anemia (AIHA)
ds:H01586	Acquired pure red cell aplasia
ds:H01587	Disseminated intravascular coagulation (DIC)
ds:H01588	Cluster headache
ds:H01589	Systemic primary carnitine deficiency
ds:H01590	Chronic eosinophilic leukemia
ds:H01591	Gastrotintestinal stromal tumor
ds:H01592	Medullary thyroid cancer
ds:H01593	Osteoporosis
ds:H01594	Myasthenia gravis
ds:H01595	Cutaneous lupus erythematosus
ds:H01596	Lambert-Eaton myasthenic syndrome (LEMS)
ds:H01597	Restless legs syndrome; Willis Ekbom disease
ds:H01598	Addison's disease; Primary adrenal insufficiency; Hypoadrenocorticism
ds:H01599	Hypereosinophilic syndrome
ds:H01600	Parkinsonian syndrome
ds:H01601	Anaplastic large-cell lymphoma
ds:H01602	Gastroesophageal reflux disease (GERD)
ds:H01603	Primary aldosteronism
ds:H01604	Polymyositis and dermatomyositis (PM/DM)
ds:H01605	Myelofibrosis
ds:H01606	Polymyalgia rheumatica
ds:H01607	Galactorrhea; Lactation suppression
ds:H01608	Cervical dystonia; Spasmodic torticollis
ds:H01609	Insomnia
ds:H01610	Clonorchiasis
ds:H01611	Alcohol dependence
